Id,Name,Address,Salary,DOJ ,DOB,Age,Sex,Dependents,HRA,DA,PF,Gross Salary,Insurance,Marital Status,In Company Years,Year of Experience,Department,Position
0,VgwbPyBn,"jyNxKZtk St, piZQhYcARo, PUN 172813",149289.04,27/4/1998,27/3/1971,53,Other,2,8776.095999999998,35233.66637469586,22142.724764963503,171156.07760973237,None,Widowed,26,32,Sales,Sales Director
1,pgdYaIWk,"PypVsqug St, iHyelKZbFc, BLR 580530",69761.64,24/10/2020,12/12/1997,26,Male,0,9302.836,16464.425985401456,10347.127918248174,85181.77406715328,Both,Single,3,5,Human Resources,HR Executive
2,eWgVBGVv,"pfQezTVa St, YfIaELfpUw, BLR 155186",107633.14,22/7/2020,20/8/1979,44,Female,2,13357.686,25402.46856447688,15964.273027737227,130429.02153673964,None,Divorced,3,23,Marketing,Senior Marketing Executive
3,LYDofRRu,"wcTsbmFr St, UdylzZFFCU, AMD 843852",147408.65,27/3/2007,7/6/1966,58,Male,1,6026.135,34789.87603406325,21863.82312408759,166360.83790997567,None,Married,17,37,Finance,Account Director
4,vhLFHcRg,"DdxKVhli St, cYOjpbMztB, BLR 713383",53447.06,23/5/2017,19/11/1992,31,Male,2,7554.294,12614.02632603406,7927.3303591240865,65688.04996690998,Life,Married,7,10,Sales,Sales Executive
5,mNWPWGPP,"vuHIgjXl St, IodaWueNON, PUN 605979",106580.11,20/7/2022,16/5/1990,34,Female,1,11491.989,25153.943236009727,15808.086388321166,127417.95584768856,Medical,Married,1,13,Sales,Regional Sales Manager
6,vjbszTQW,"LLOOZxHr St, iiZXVGMuRa, DEL 672793",146007.75,12/7/2022,4/12/1971,52,Other,2,6581.2249999999985,34459.24999999999,21656.04,165392.185,None,Married,2,31,Finance,National Account Head
7,zXUdTHaJ,"XyBINigj St, BxfKiOEuiT, DEL 254142",76986.74,10/8/2019,6/12/1991,32,Female,3,7467.325999999999,18169.619902676393,11418.763188321167,91204.92271435523,Life,Married,4,11,Sales,Senior Executive
8,sIZQRTaq,"ZrqSMeKj St, BSMxlzAcjl, BLR 743922",134973.46,6/11/2005,5/11/1965,58,Other,1,9632.654,31855.05017031629,20019.421220437955,156441.74294987836,Medical,Divorced,18,37,IT,Technical Lead
9,DTjnhgxd,"ZEeBgofu St, BGXeaFhWmT, CHN 978281",120881.83,23/12/2006,24/9/1968,55,Female,2,10167.817,28529.288345498775,17929.334201459853,141649.60114403893,Both,Married,17,34,Marketing,National Marketing Manager
